c_digo_dane_departamento,departamento,c_digo_dane_municipio,municipio,tipo_municipio_isla_rea_no,categoria_municipio,comisarias_ley_2126_100_000,existencia_de_comisarias,nombre_comisaria,direcci_n_comisara,telefono_de_contacto,horario_de_atenci_n,longitud_de_ubicaci_n_de,latitud_de_ubicaci_n_de_la,coordenadas_de_ubicaci_n,fuente
15,BOYACA,15442,MARIPI,Municipio,6,1,1,COMISARÍA DE FAMILIA DE MARIPÍ BOYACÁ,"Calle 3 # 3-20 Biblioteca municipal piso 2, Maripí Boyacá",3138221243,Lunes a Viernes de  8 am a 12 del dia y de 2 pm a 6 pm,-74005583,5550472,"5°33'01.7""N 74°00'20.1""W",Directorio Comisarias Ley 2126
15,BOYACA,15455,MIRAFLORES,Municipio,6,1,0,COMISARÍA DE FAMILIA MIRAFLORES BOYACÁ,"Calle 4A  # 7-42, Miraflores Boyacá",3112235317,Lunes  a jueves de 8 A 12 Y DE 2-6:30 Viiernes  8 A 1P.M.,-73146194,5196250,"5°11'46.5""N 73°08'46.3""W",Directorio Comisarias Ley 2126
15,BOYACA,15464,MONGUA,Municipio,6,1,1,COMISARÍA DE FAMILIA DE MONGUA BOYACÁ,"Cra 4 # 4-43, Mongua Boyacá",3204195065,Lunes a Viernes de  8:00AM - 12:30PM Y 2:00PM - 5:30PM,-72798361,5754583,"5°45'16.5""N 72°47'54.1""W",Directorio Comisarias Ley 2126
15,BOYACA,15466,MONGUI,Municipio,6,1,1,COMISARÍA DE FAMILIA DE MONGUÍ BOYACÁ,"Carrera 5# 3-24 , Monguí, Boyacá",3208461011,Lunes a Viernes de 8:00 a.m. a 1:00 p.m. y de 1:40 a 5:10,-72849306,5722694,"5°43'21.7""N 72°50'57.5""W",Directorio Comisarias Ley 2126
15,BOYACA,15469,MONIQUIRA,Municipio,6,1,1,COMISARÍA DE FAMILIA DE MONIQUIRÁ BOYACÁ,"Cl. 18 #4-57, Moniquirá, Boyacá",33124306452,"Lunes, Martes, Jueves y Viernes de 8 a 12 y de 2 a 6 el dia Miercoles de 8 a 4 jornanda continua",-73571194,5877389,"5°52'38.6""N 73°34'16.3""W",Directorio Comisarias Ley 2126
15,BOYACA,15476,MOTAVITA,Municipio,6,1,1,COMISARÍA DE FAMILIA DE MOTAVITA BOYACÁ,CARRRERA 2 # 2-56,3213555969,Lunes a Viernes de: 8 AM -1PM  y 2 PM - 5PM,-73368417,5575639,"5°34'32.3""N 73°22'06.3""W",Directorio Comisarias Ley 2126
15,BOYACA,15480,MUZO,Municipio,6,1,1,COMISARÍA DE FAMILIA DE MUZO BOYACÁ,Calle 3 # 8-03,3105522712,Lunes a Viernes de  08:00 AM a 12:00M y 02:00 PM a 06:00 PM,-74105535,5532823,"5°31'58.2""N 74°06'19.9""W",Directorio Comisarias Ley 2126
15,BOYACA,15494,NUEVO COLON,Municipio,6,1,1,COMISARÍA DE FAMILIA NUEVO COLÓN BOYACÁ,Calle 4 # 4-60 Palacio municipal,3115231750,Lunes a Viernes de  8:00AM A 5:00PM,-73456953,5354991,"5°21'18.0""N 73°27'25.0""W",Directorio Comisarias Ley 2126
15,BOYACA,15500,OICATA,Municipio,6,1,1,COMISARÍA DE FAMILIA DE OICATÁ BOYACÁ,CALLE 4 # 3-17,3105595888,Lunes a Viernes de 8:00 - 1:00 ; 2:00 - 5:00,-73307556,5595028,"5°35'42.1""N 73°18'27.2""W",Directorio Comisarias Ley 2126
15,BOYACA,15507,OTANCHE,Municipio,6,1,1,COMISARIA DE FAMILIA MUNICIPIO DE OTANCHE BOYACÁ,Carrera 6 #  3-30,3112363000,Lunes a Viernes de  8a.m a 12 mm - 2 pm a 6 pm,-73308778,5595778,"5°35'44.8""N 73°18'31.6""W",Directorio Comisarias Ley 2126
