divipola_municipal,departamento,municipio,pagos_asistencia_alimentaria,asistencia_t_cnica_integral,autosostenimiento_y_seguridad,proyectos_productivos_pp_corto,proyectos_productivos_pp_largo,recolectores,fecha_de_corte,tipo_ciclo,fuente,cantidad
76100,VALLE DEL CAUCA,BOLIVAR,263,269,260,218,244,15,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalía — Inasistencia Alimentaria,1
76233,VALLE DEL CAUCA,DAGUA,413,423,405,355,398,40,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalía — Inasistencia Alimentaria,1
76250,VALLE DEL CAUCA,EL DOVIO,150,152,143,124,142,6,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalía — Inasistencia Alimentaria,1
